Species,GF,log LL,log LMA,log Nmass,log Narea,,,,
Artemisia vulgaris,H,,1.53,0.367,-0.092,,,,
Aster amellus,H,,1.99,0.324,0.315,,,,
Cacalia hastata,H,,1.27,0.613,-0.046,,,,
Cirsium arvense,H,,1.58,0.288,0.034,,,,
Echinops ritro,H,,2.08,0.162,0.254,,,,
Inula hirta,H,,1.67,0.450,0.249,,,,
Tanacetum vulgare,H,,1.63,0.381,0.097,,,,
Myosotis palustris,H,,1.40,0.338,-0.387,,,,
Onobrychis arenaria,H,,2.05,0.449,0.186,,,,
Bunias orientalis,H,,1.62,0.713,0.330,,,,
Dianthus acicularis,H,,1.85,0.326,-0.277,,,,
Dianthus versicolor,H,,1.75,0.313,0.165,,,,
Sedum acre,H,,2.30,0.181,0.482,,,,
Sedum purpureum,H,,1.81,0.396,0.828,,,,
Knautia arvensis,H,,1.59,0.332,-0.071,,,,
Lathyrus vernus,H,,1.30,0.653,0.105,,,,
Lupinus polyphyllus,H,,1.50,0.474,-0.023,,,,
Origanum vulgare,H,,1.69,0.250,0.001,,,,
Trifolium pratense,H,,1.59,0.568,0.207,,,,
Trifolium repens,H,,1.55,0.559,0.111,,,,
Herniaria glabra,H,,2.04,0.316,0.421,,,,
Betonica officinalis,H,,1.51,0.408,0.027,,,,
Glechoma hederaceae,H,,1.34,0.719,0.056,,,,
Chamaenerion angustifolium,H,,1.56,0.521,0.078,,,,
Plantago media,H,,1.58,0.262,-0.066,,,,
Polygala sibirica,H,,1.84,0.267,0.108,,,,
Polygala vulgaris,H,,1.83,0.376,0.184,,,,
Polygonum bistorta,H,,1.38,0.321,-0.299,,,,
Rumex acetosella,H,,1.83,0.225,0.055,,,,
Trientalis europaea,H,,1.35,0.560,0.012,,,,
Adonis vernalis,H,,1.84,0.449,0.289,,,,
Anemone sylvestris,H,,1.71,0.373,0.070,,,,
Aquilegia vulgaris,H,,1.53,0.365,-0.104,,,,
Caltha palustris,H,,1.45,0.632,-0.067,,,,
Thalictrum simplex,H,,1.64,0.400,-0.039,,,,
Trollius europaeus,H,,1.63,0.620,0.254,,,,
Filipendula ulmaria,H,,1.73,0.272,-0.127,,,,
Filipendula vulgaris,H,,1.67,0.279,-0.170,,,,
Fragaria vesca,H,,1.41,0.302,-0.220,,,,
Fragaria viridis,H,,1.71,0.262,-0.165,,,,
Potentilla erecta,H,,1.51,0.348,-0.301,,,,
Sanguisorba officinalis,H,,1.48,0.276,-0.314,,,,
Galium boreale,H,,1.83,0.312,0.145,,,,
Galium mollugo,H,,1.41,0.469,-0.224,,,,
Galium verum,H,,1.53,0.147,-0.324,,,,
Chrysosplenium alternifolium,H,,1.26,0.376,-0.323,,,,
Digitalis grandiflora,H,,1.52,0.334,-0.255,,,,
Verbascum thapsus,H,,1.47,0.443,-0.058,,,,
Veronica chamaedrys,H,,1.51,0.248,-0.377,,,,
Veronica longifolia,H,,1.80,0.242,-0.072,,,,
Veronica spicata,H,,1.89,0.283,0.174,,,,
Viola canina,H,,1.52,0.615,0.137,,,,
Viola mirabilis,H,,1.23,0.272,-0.495,,,,
Allium rubens,H,,2.05,0.235,0.289,,,,
Allium strictum,H,,1.92,0.238,0.459,,,,
Calla palustre,H,,1.52,0.615,-0.018,,,,
Convallaria majalis,H,,1.37,0.582,-0.043,,,,
Maianthemum bifolium,H,,1.41,0.396,-0.189,,,,
Polygonatum officinale,H,,1.42,0.453,0.004,,,,
Lilium martagon,H,,1.59,0.575,0.164,,,,
Neottianthe cucullata,H,,1.34,0.581,-0.097,,,,
Platanthera bifolia,H,,1.55,0.420,-0.030,,,,
Sparganium erectum,H,,1.74,0.446,0.183,,,,
Typha latifolia,H,,2.10,0.498,0.594,,,,
Acomastylis rosii,H,0.30,1.92,0.398,0.322,,,,
Bistorta bistortoides,H,0.30,1.92,0.591,0.508,,,,
Psychrophila leptosepala,H,0.40,1.90,0.462,0.362,,,,
Eupatorium rugesum,H,0.68,1.33,0.593,-0.078,,,,
Galax aphylla,H,1.26,1.90,-0.051,-0.148,,,,
Helianthus microcephalus,H,0.61,1.60,0.418,0.019,,,,
Podophyllum peltatum,H,0.48,1.49,0.618,0.109,,,,
Veratrum parviflorum,H,0.56,1.53,,,,,,
Atriplex canescens,H,0.85,2.40,0.322,0.723,,,,
Pterocaulon pycnostachyum,H,0.71,1.91,0.294,0.202,,,,
Arisaema triphyllum,H,,1.42,0.803,0.224,,,,
Baptisia leucophaea,H,0.54,1.97,0.555,0.529,,,,
Caulophyllum thalictroides,H,,1.37,0.765,0.137,,,,
Dentaria laciniata,H,0.04,1.53,0.724,0.252,,,,
Echinacea purpurea,H,0.60,1.89,0.176,0.067,,,,
Erythronium americanum,H,0.28,1.65,0.623,0.277,,,,
Podophyllum peltatum,H,0.48,1.51,0.650,0.160,,,,
Sanguinaria canadensis,H,0.60,1.49,0.729,0.223,,,,
Sarracenia purpurea,H,1.48,2.11,0.057,0.164,,,,
Silphium integrifolium,H,0.60,1.93,0.220,0.155,,,,
Silphium terebinthinaceum,H,0.48,1.88,0.158,0.035,,,,
Trillium grandiflora,H,0.57,1.45,0.713,0.160,,,,
Agrimonia gryposepala,H,,1.69,,,,,,
Asclepias syriaca,H,,1.74,,,,,,
Aster acuminatus,H,,1.34,,,,,,
Brassica oleracea,H,,1.46,,,,,,
Centaurea nigra,H,,1.83,,,,,,
Chrysanthemum leucanthemum,H,,1.77,,,,,,
Cichorium intybus,H,,1.76,,,,,,
Epilobium glandulosum,H,,1.59,,,,,,
Epipactis helleborine,H,,1.43,,,,,,
Erigeron strigosus,H,,1.47,,,,,,
Galeopsis tetrahit,H,,1.64,,,,,,
Hieracium scabrum,H,,1.33,,,,,,
Hypericum perforatum,H,,1.61,,,,,,
Impatiens capensis,H,,1.27,,,,,,
Lobelia inflata,H,,1.39,,,,,,
Lythrum salicaria,H,,1.79,,,,,,
Maianthemum canadense,H,,1.46,,,,,,
Melilotus alba,H,,1.72,,,,,,
Oenothera blennis,H,,1.71,,,,,,
Oenothera perennis,H,,1.31,,,,,,
Oxalis stricta,H,,1.24,,,,,,
Plantago major,H,,1.72,,,,,,
Polygonum persicaria,H,,1.68,,,,,,
Potentilla simplex,H,,1.50,,,,,,
Prunella vulgaris,H,,1.42,,,,,,
Pyrola elliptica,H,,1.70,,,,,,
Rudbeckia hirta,H,,1.84,,,,,,
Solidago canadensis,H,,1.67,,,,,,
Sonchus arvensis,H,,1.69,,,,,,
Trifolium pratense,H,,1.72,,,,,,
Veronica officinalis,H,,1.58,,,,,,
Sarracenia purpurea,H,1.48,1.95,0.037,-0.018,,,,
Aconogonon campanulatum,H,,1.71,0.632,0.342,,,,
Anemone rupicola,H,,1.91,0.414,0.326,,,,
Bistorta amplexicaulis,H,,1.68,0.582,0.270,,,,
Cremanthodium pinnatifidum,H,,1.53,0.620,0.151,,,,
Lagotis kunawarensis,H,,1.77,0.556,0.343,,,,
Picrorhiza scrophulariiflora,H,,1.70,0.589,0.294,,,,
Potentilla contigua,H,,1.75,0.478,0.233,,,,
Potentilla peduncularis,H,,1.89,0.404,0.296,,,,
Rheum acuminatum,H,,1.57,0.683,0.275,,,,
Rheum nobile,H,,1.78,0.543,0.358,,,,
Saussurea gossypiphora,H,,1.84,0.493,0.333,,,,
Swertia acaulis,H,,1.80,0.387,0.190,,,,
Alternanthera crucis,H,,,,,,,,
Achillea millefolium,H,,1.89,0.408,0.303,,,,
Agastache foeniculum,H,,1.97,0.436,0.417,,,,
Ambrosia artemisiifolia,H,0.17,1.89,0.407,0.299,,,,
Anemone cylindrica,H,0.32,1.97,0.220,0.193,,,,
Asclepias syriaca,H,0.15,1.80,0.435,0.246,,,,
Asclepias tuberosa,H,,1.92,0.328,0.246,,,,
Aster azureus,H,,2.01,0.204,0.223,,,,
Aster ericoides,H,,2.11,0.250,0.367,,,,
Aster novaeanglieae,H,,1.82,0.382,0.207,,,,
Astragalus candensis,H,,1.97,0.616,0.597,,,,
Coreopsis palmata,H,,2.18,0.068,0.248,,,,
Desmodium canadense,H,0.39,1.80,0.369,0.173,,,,
Lespedeza capitata,H,0.19,2.01,0.324,0.334,,,,
Liatris aspera,H,,2.11,0.212,0.326,,,,
Lupinus perennis,H,-0.03,1.81,0.553,0.378,,,,
Penstemon grandiflorus,H,,1.98,0.324,0.307,,,,
Petalostemum purpureum,H,,2.12,0.386,0.560,,,,
Petalostemum villosum,H,,2.05,0.422,0.480,,,,
Potentilla arguta,H,,1.98,0.276,0.260,,,,
Rudbeckia serotina,H,0.19,1.85,0.330,0.185,,,,
Solidago nemoralis,H,,2.09,0.199,0.288,,,,
Solidago rigida,H,0.48,2.07,0.104,0.173,,,,
Patersonia occidentalis,H,1.46,2.58,-0.064,0.515,,,,
Anigozanthos humilis,H,0.60,1.76,0.550,0.311,,,,
Drosera sp,H,0.60,1.70,0.173,-0.131,,,,
Gladiolus caryophyllaceus,H,0.60,1.94,0.279,0.220,,,,
Pterostylis sp,H,0.60,1.57,0.363,-0.064,,,,
Stylidium sp,H,0.60,2.05,0.262,0.313,,,,
Peucedanum multivittatum,H,0.17,1.60,0.672,0.276,,,,
Potentilla marsumurae,H,0.33,1.70,0.538,0.237,,,,
Bistorta plumosa,H,,1.97,,,,,,
Epilobium angustifolium,H,0.56,1.89,0.279,0.165,,,,
Epilobium latifolium,H,0.56,1.83,0.441,0.267,,,,
Hedysarum alpinum,H,0.56,1.81,0.583,0.389,,,,
Hedysarum mackenzii,H,0.56,1.97,0.710,0.683,,,,
Lupinus arcticus,H,0.56,,0.255,,,,,
Oxytropis maydelliana,H,0.56,1.83,0.659,0.485,,,,
Oxytropis nigrescens,H,0.56,2.11,0.542,0.652,,,,
Petasites frigidus,H,0.56,1.82,0.279,0.103,,,,
Polygonum bistorta,H,0.56,1.99,0.374,0.367,,,,
Potentilla fruticosa,H,0.56,1.89,0.407,0.293,,,,
Potentilla hyparctica,H,0.56,1.72,0.286,0.010,,,,
Rubus chamaemorus,H,0.56,1.92,0.305,0.222,,,,
Tofieldia coccinea,H,0.56,2.13,0.079,0.210,,,,
Tofieldia pusilla,H,0.56,1.86,0.283,0.141,,,,
Adenostoma fasciculatum,S,1.26,2.45,0.069,0.546,,,,
Arbutus menziesii,S,1.17,2.19,0.094,0.288,,,,
Arctostaphylos tomentosa,S,1.35,2.15,0.014,0.171,,,,
Artemisia californica,S,,1.98,,,,,,
Baccharis pilularis,S,0.95,2.03,0.388,0.414,,,,
Ceanothus cuneatus,S,1.17,2.36,0.255,0.611,,,,
Ceanothus oliganthus,S,1.04,2.08,0.328,0.418,,,,
Cercocarpus betuloides,S,1.07,2.14,0.382,0.531,,,,
Dirca occidentalis,S,0.60,1.75,0.412,0.161,,,,
Eriodictyon californicum,S,0.96,2.25,0.222,0.476,,,,
Heteromeles arbutifolia,S,1.36,2.32,0.137,0.452,,,,
Holodiscus discolor,S,0.66,1.89,0.288,0.193,,,,
Lepechinia calycina,S,0.64,2.00,0.259,0.259,,,,
Lotus scoparius,S,0.30,1.98,0.361,0.318,,,,
Mimulus aurantiacus,S,0.88,2.05,0.063,0.127,,,,
Pickeringia montana,S,,2.18,,,,,,
Prunus iIlicifolia,S,1.22,2.18,0.311,0.488,,,,
Quercus agrifolia,S,,2.29,,,,,,
Quercus durata,S,,2.32,,,,,,
Rhamnus californica,S,1.19,1.87,0.318,0.187,,,,
Rhamnus crocea,S,1.13,2.10,0.328,0.444,,,,
Ribes californicum,S,0.52,1.97,0.349,0.311,,,,
Ribes malvaceum,S,,1.87,,,,,,
Sambucus mexicana,S,0.62,2.00,0.404,0.409,,,,
Solanum umbelliferum,S,,1.90,,,,,,
Toxicodendron diversiloba,S,0.62,1.90,0.296,0.200,,,,
Chenopodium oahuense,S,,1.95,0.560,0.513,,,,
Rubus hawaiiensis,S,,1.56,0.470,0.033,,,,
Styphelia tameiameiae,S,,2.31,-0.086,0.227,,,,
Vaccinium chalicinum,S,,1.73,0.299,0.027,,,,
Vaccinium reticulatum,S,,2.23,-0.051,0.178,,,,
Dodonaea viscosa,S,,2.16,0.146,0.307,,,,
Dubautia scabra,S,,1.82,-0.092,-0.267,,,,
Myrsine sandwicensis,S,,1.66,0.021,-0.316,,,,
Psychotria sp,S,,1.85,0.117,-0.037,,,,
Brussaisia arguta,S,,1.86,0.127,-0.010,,,,
Clermontia montes-loa,S,,1.51,0.455,-0.036,,,,
Comprosma ernodeoides,S,,1.91,-0.004,-0.099,,,,
Comprosma ochracea,S,,1.60,0.243,-0.156,,,,
Hedyotis centranthoides,S,,2.09,0.104,0.195,,,,
Bactris trichophylla,S,,1.74,0.187,-0.074,,,,
Myriocarpa longipes,S,,1.73,0.160,-0.107,,,,
Piper auritum,S,,1.57,0.508,0.080,,,,
Piper hispidum,S,,1.81,0.362,0.173,,,,
Urera caracasana,S,,1.76,0.452,0.207,,,,
Urera elata,S,,1.60,0.137,-0.261,,,,
Arbutus andrachne,S,1.10,1.66,,,,,,
Arbutus unedo,S,1.18,1.65,,,,,,
Quercus coccifera,S,1.14,1.67,,,,,,
Pistacia lentiscus,S,1.05,1.66,,,,,,
Ceratonia siliqua,S,1.37,1.69,,,,,,
Myrtus communis,S,1.35,1.86,,,,,,
Olea europaea,S,1.37,1.64,,,,,,
Phillyrea media,S,,1.77,,,,,,
Quercus ilex,S,,1.90,,,,,,
Laurus nobilis,S,,1.91,,,,,,
Nerium oleander,S,,1.69,,,,,,
Arbutus unedo,S,,1.97,0.362,0.328,,,,
Berberis vulgaris,S,,1.88,0.361,0.243,,,,
Buddleja davidii,S,,1.91,0.297,0.206,,,,
Buxus sempervirens,S,,2.04,0.320,0.365,,,,
Calluna vulgaris,S,,1.78,0.169,-0.046,,,,
Cornus sanguinea,S,,1.79,0.327,0.120,,,,
Crataegus monogyna,S,,1.94,0.253,0.192,,,,
Cytisus scoparius,S,,1.79,0.466,0.256,,,,
Daphne mezereum,S,,1.65,0.403,0.048,,,,
Dryas octopetala,S,,1.81,0.285,0.095,,,,
Empetrum nigrum,S,,2.00,0.123,0.119,,,,
Erica cinera,S,,1.95,0.152,0.099,,,,
Frangula alnus,S,,1.68,0.455,0.130,,,,
Hebe x franciscana,S,,1.94,0.266,0.204,,,,
Helianthemum nummularium,S,,1.88,0.353,0.235,,,,
Hippophae rhamnoides,S,,1.90,0.483,0.388,,,,
Ligustrum vulgare,S,,2.00,0.198,0.198,,,,
Prunus laurocerasus,S,,2.08,0.208,0.286,,,,
Prunus lusitanica,S,,2.15,0.067,0.221,,,,
Prunus spinosa,S,,1.84,0.482,0.324,,,,
Rhamnus cathartica,S,,1.74,0.480,0.218,,,,
Rhododendron ponticum,S,,2.07,0.014,0.084,,,,
Ribes nigrum,S,,1.82,0.266,0.087,,,,
Ribes uva-crispa,S,,1.78,0.350,0.133,,,,
Sambucus nigra,S,,1.72,0.522,0.238,,,,
Thymus polytrichus,S,,1.80,0.212,0.007,,,,
Ulex europaeus,S,,1.95,0.504,0.455,,,,
Ulex gallii,S,,2.14,0.354,0.494,,,,
Vaccinium myrtillus,S,,1.74,0.233,-0.028,,,,
Vaccinium oxycoccos,S,,2.00,0.186,0.185,,,,
Vaccinium vitis-idaea,S,,2.14,0.050,0.194,,,,
Viburnum opulus,S,,1.80,0.379,0.180,,,,
Viburnum tinus,S,,2.07,0.074,0.144,,,,
Artemisia tridentata,S,,2.23,0.156,0.393,,,,
Purshia tridentata,S,,,0.374,,,,,
Lyonia lucida,S,1.26,2.24,-0.155,0.081,,,,
Cyrilla racemiflora,S,1.26,2.01,0.100,0.113,,,,
Leucothoe racemosa,S,0.81,1.95,-0.009,-0.060,,,,
Itea virginica,S,0.81,1.85,0.049,-0.098,,,,
Clethra alnifolia,S,0.81,1.93,0.100,0.032,,,,
Baccharis arbutifolia,S,0.43,1.98,0.465,0.445,,,,
Chuquiraga jussieui,S,0.81,2.15,0.225,0.397,,,,
Diplostephium rupestre,S,0.59,2.19,0.352,0.539,,,,
Gynoxis sp,S,0.98,2.23,0.201,0.430,,,,
Loricaria ilinissae,S,1.34,2.30,0.029,0.340,,,,
Arbutus menziesii,S,,2.09,0.129,0.219,,,,
Heteromeles arbutifolia,S,,2.36,0.016,0.379,,,,
Prunus ilicifolia,S,,2.20,0.250,0.449,,,,
Rhamnus californica,S,,2.03,0.280,0.305,,,,
Umbellularia californica,S,,2.12,0.247,0.364,,,,
Miconia fallax,S,,,,,,,,
Roupala montana,S,,,,,,,,
Ouratea hexasperma,S,,,,,,,,
Buxus sempervirens,S,,2.21,0.060,0.275,,,,
Calamintha nepeta,S,,1.58,0.504,0.079,,,,
Phillyrea latifolia,S,,2.12,0.060,0.185,,,,
Psoralea bituminosa,S,,1.72,0.632,0.351,,,,
Rubia peregrina,S,,1.85,0.151,-0.002,,,,
Rubus sp,S,,1.77,0.392,0.162,,,,
Viburnum tinus,S,,1.96,0.101,0.063,,,,
Calamintha nepeta,S,,1.54,0.432,-0.032,,,,
Crataegus monogyna,S,0.68,1.85,0.277,0.128,,,,
Helianthemum nummularium,S,,1.82,0.409,0.233,,,,
Lavandula latifolia,S,,1.91,0.289,0.203,,,,
Psoralea bituminosa,S,,1.71,0.645,0.359,,,,
Rubia peregrina,S,0.68,1.79,0.289,0.077,,,,
Rubus sp,S,0.82,1.73,0.364,0.092,,,,
Teuchrium chamaedrys,S,0.85,1.84,0.325,0.170,,,,
Viburnum tinus,S,1.08,1.79,0.184,-0.028,,,,
Buxus sempervirens,S,1.21,2.21,0.164,0.379,,,,
Calamintha nepeta,S,0.54,1.58,0.419,-0.002,,,,
Crataegus monogyna,S,,1.98,0.203,0.182,,,,
Helianthemum nummularium,S,0.42,1.81,0.355,0.161,,,,
Juniperus oxycedrus,S,1.26,2.15,-0.076,0.073,,,,
Lavandula latifolia,S,0.62,1.97,0.235,0.204,,,,
Phillyrea latifolia,S,,2.04,0.257,0.298,,,,
Prunus mahaleb,S,0.63,1.89,0.344,0.231,,,,
Prunus spinosa,S,0.72,1.91,0.279,0.186,,,,
Psoralea bituminosa,S,,1.70,0.624,0.327,,,,
Rosa micrantha,S,0.53,1.89,0.279,0.172,,,,
Rubia peregrina,S,,1.73,0.314,0.044,,,,
Rubus sp,S,,1.91,0.270,0.180,,,,
Ruscus aculeatus,S,,1.74,0.430,0.172,,,,
Teuchrium chamaedrys,S,0.72,1.89,0.299,0.185,,,,
Thymus vulgaris,S,0.77,1.90,0.296,0.193,,,,
Viburnum tinus,S,,1.92,0.039,-0.037,,,,
Cistus monspeliensis,S,,2.13,0.320,0.539,,,,
Cneorum tricoccon,S,,2.00,0.303,0.387,,,,
Hypericum balearicum,S,,2.07,0.389,0.734,,,,
Phillyrea latifolia,S,,2.08,0.250,0.478,,,,
Pistacia lentiscus,S,,2.32,0.149,0.453,,,,
Rhamnus ludovici-salvatoris,S,,2.22,0.260,0.329,,,,
Cistus albidus,S,,2.04,0.288,0.628,,,,
Cistus salvifolius,S,,2.13,0.267,0.307,,,,
Quercus coccifera,S,,2.23,0.079,0.206,,,,
Rhamnus alaternus,S,,2.18,0.305,0.438,,,,
Capparis spinosa,S,,1.89,0.674,0.564,,,,
Cephalaria squamiflora,S,,2.06,0.360,0.418,,,,
Euphorbia margalidiana,S,,1.90,0.565,0.469,,,,
Globularia cambessedesii,S,,2.20,0.212,0.408,,,,
Ligusticum huteri,S,,1.60,0.618,0.222,,,,
Limonium migjornense,S,,2.03,0.393,0.425,,,,
Phlomis italica,S,,2.04,0.320,0.362,,,,
Pistacia terebinthus,S,,2.13,0.450,0.580,,,,
Silene mollisima,S,,1.84,0.563,0.399,,,,
Anagyris foetida,S,,1.98,0.571,0.624,,,,
Atriplex halimus,S,,1.94,0.716,0.658,,,,
Dittrichia viscosa,S,,1.73,0.531,0.263,,,,
Helleborus lividus,S,,2.23,0.228,0.288,,,,
Helleborus foetidus,S,,2.23,0.220,0.453,,,,
Lavandula dentata,S,,1.90,0.391,0.291,,,,
Vitex agnus-castus,S,,1.92,0.524,0.444,,,,
Maesa japonica,S,1.16,1.91,0.043,-0.048,,,,
Boehmeria sp,S,,1.74,0.398,0.143,,,,
Drimys piperita,S,,1.82,0.180,0.004,,,,
Drimys piperita,S,,2.07,0.253,0.327,,,,
Drimys piperita,S,,2.07,0.346,0.416,,,,
Gaultheria antipoda,S,,2.05,-0.039,0.016,,,,
Andromeda polifolia,S,1.17,2.11,0.191,0.302,,,,
Arctostaphylos alpina,S,0.47,1.93,0.158,0.091,,,,
Betula nana,S,0.48,1.91,0.350,0.258,,,,
Cassiope tetragona,S,1.52,,-0.071,,,,,
Dryas octopetala,S,0.44,1.97,0.306,0.280,,,,
Empetrum hermaphroditum,S,1.61,2.25,-0.108,0.140,,,,
Empetrum nigrum,S,1.61,1.94,0.078,0.019,,,,
Juniperus communis,S,,2.22,0.059,0.281,,,,
Loiseleuria procumbens,S,1.57,2.40,-0.149,0.249,,,,
Phyllodoce caerulea,S,1.45,2.08,-0.081,-0.005,,,,
Rhododendron lapponicum,S,1.14,2.13,0.222,0.353,,,,
Ribes spicatum,S,,1.52,0.469,-0.008,,,,
Salix lapponum,S,,1.93,0.389,0.323,,,,
Salix myrsinites,S,0.47,2.07,0.236,0.297,,,,
Salix reticulata,S,0.51,2.10,0.228,0.325,,,,
Vaccinium myrtillus,S,0.47,1.73,0.278,0.010,,,,
Vaccinium uliginosum,S,0.47,1.89,0.298,0.203,,,,
Vaccinium vitis-idaea,S,1.44,2.20,-0.016,0.192,,,,
Arctostaphylos alpina,S,0.39,1.98,0.270,0.252,,,,
Betula nana,S,0.32,1.91,0.499,0.410,,,,
Cassiope tetragona,S,1.59,2.13,0.134,0.259,,,,
Diapensia lapponica,S,1.63,2.20,0.132,0.328,,,,
Dryas octopetala,S,0.42,2.06,0.310,0.366,,,,
Empetrum hermaphroditum,S,1.62,2.19,-0.015,0.176,,,,
Loiseleuria procumbens,S,1.72,2.36,0.023,0.388,,,,
Phyllodoce caerulea,S,1.53,2.11,0.043,0.150,,,,
Rhododendron lapponicum,S,1.12,2.20,0.272,0.473,,,,
Salix herbacea,S,0.42,1.91,0.427,0.345,,,,
Salix myrsinites,S,,1.98,0.394,0.372,,,,
Salix polaris,S,0.40,1.92,0.395,0.326,,,,
Salix reticulata,S,0.44,2.04,0.356,0.395,,,,
Vaccinium myrtillus,S,0.34,1.86,0.212,0.076,,,,
Vaccinium uliginosum,S,0.35,1.90,0.398,0.306,,,,
Vaccinium vitis-idaea,S,1.57,2.39,-0.013,0.380,,,,
Cassiope tetragona,S,1.72,,0.076,,,,,
Dryas octopetala,S,,2.07,0.371,0.443,,,,
Salix polaris,S,,1.87,0.587,0.456,,,,
Prunus spinosa,S,0.76,1.95,0.326,0.281,,,,
Crataegus x macrocarpa,S,0.82,2.04,0.310,0.351,,,,
Ribes uva crispa,S,0.91,1.81,0.314,0.126,,,,
Bougainvellia spectabilis,S,,1.83,0.436,0.263,,,,
Carissa carundu,S,,1.95,0.068,0.015,,,,
Gardenia jasminoides,S,,1.91,0.182,0.096,,,,
Hamelia patens,S,,1.82,0.524,0.345,,,,
Hibiscus rosa-sinensis,S,,1.67,0.350,0.019,,,,
Ixora alba,S,,1.92,0.342,0.265,,,,
Ixora coccinea,S,,2.01,0.143,0.149,,,,
Quisqualis indica,S,,1.61,0.464,0.072,,,,
Tabernaemontana coronaria,S,,1.74,0.614,0.357,,,,
Woodfordia fruticosa,S,,2.04,0.124,0.169,,,,
Amorpha canescens,S,,1.81,0.376,0.191,,,,
Amorpha canescens,S,,,,,,,,
Ceanothus herbacesous,S,,,,,,,,
Rhus glabra,S,,,,,,,,
Rosa arkansana,S,,,,,,,,
Symphoricarpos orbiculatus,S,,,,,,,,
Crataegus monogyna,S,0.73,2.08,0.292,0.391,,,,
Pyrus bourgeana,S,0.65,2.13,0.344,0.455,,,,
Isoglossa ciliatus,S,,1.56,0.661,0.225,,,,
Hypoestes verticilliaris,S,,2.00,0.279,0.283,,,,
Isoglossa ciliatus,S,,1.72,0.636,0.353,,,,
Protea repens,S,,2.37,0.137,0.502,,,,
Protea neriifolia,S,,2.35,0.037,0.387,,,,
Protea nitida,S,,2.40,0.013,0.413,,,,
Protea acaulos,S,,2.24,0.097,0.328,,,,
Maytenus oleodes,S,,2.26,0.117,0.375,,,,
Rhus tomentosa,S,,2.28,0.079,0.365,,,,
Psychotria furcata,S,1.08,1.64,0.322,-0.034,,,,
Psychotria marginata,S,1.56,1.90,0.130,0.033,,,,
Psychotria limonensis,S,1.56,1.78,0.176,-0.046,,,,
Berberis trifoliolata,S,0.97,2.21,0.114,0.329,,,,
Condalia hookeri,S,0.72,1.84,0.380,0.219,,,,
Diospyros texana,S,0.59,1.87,0.322,0.192,,,,
Zanthoxylum fagra,S,0.58,1.89,0.362,0.248,,,,
Ziziphus obtusifolia,S,0.34,2.15,,,,,,
Amelanchier spicata,S,,1.71,,,,,,
Andromeda polifolia,S,,2.12,,,,,,
Aronia melanocarpa,S,,2.03,,,,,,
Berberis vulgaris,S,,1.88,,,,,,
Betula humilis,S,,1.91,,,,,,
Betula nana,S,,2.03,,,,,,
Chamaedaphne calyculata,S,,2.01,,,,,,
Corylus avellana,S,,1.57,,,,,,
Cotoneaster interrigimus,S,,1.73,,,,,,
Crataegus curvisepala,S,,1.94,,,,,,
Crataegus monogyna,S,,2.04,,,,,,
Daphne mezereum,S,,1.49,,,,,,
Euonymus europaeus,S,,1.71,,,,,,
Frangula alnus,S,,1.42,,,,,,
Grossularia reclinata,S,,1.46,,,,,,
Juniperus communis,S,,1.98,,,,,,
Ledum palustre,S,,1.86,,,,,,
Lonicera baltica,S,,1.87,,,,,,
Lonicera xylosteum,S,,1.60,,,,,,
Myrica gale,S,,1.99,,,,,,
Pentaphylloides fruticosa,S,,1.69,,,,,,
Physocarpus opulifolius,S,,1.61,,,,,,
Prunus spinosa,S,,1.76,,,,,,
Rhamnus cathartica,S,,1.81,,,,,,
Ribes alpinum,S,,1.80,,,,,,
Ribes nigrum,S,,1.76,,,,,,
Ribes rubrum,S,,1.48,,,,,,
Ribes spicatum,S,,1.42,,,,,,
Rosa caesia,S,,1.92,,,,,,
Rosa canina,S,,1.97,,,,,,
Rosa ciesielski,S,,2.03,,,,,,
Rosa dumalis,S,,1.95,,,,,,
Rosa glauca,S,,1.96,,,,,,
Rosa majalis,S,,1.71,,,,,,
Rosa mollis,S,,1.89,,,,,,
Rosa rugosa,S,,2.08,,,,,,
Rosa spinisissima,S,,1.86,,,,,,
Rosa subcanina,S,,2.02,,,,,,
Rubus idaeus,S,,1.57,,,,,,
Salix aurita,S,,1.92,,,,,,
Salix aurita cinerea,S,,1.99,,,,,,
Salix cinerea,S,,2.00,,,,,,
Salix dasyclados,S,,1.97,,,,,,
Salix dasyclados phylicifolia,S,,2.05,,,,,,
Salix lapponum,S,,2.01,,,,,,
Salix myrsinifolia,S,,1.88,,,,,,
Salix myrtilloides,S,,1.82,,,,,,
Salix phylicifolia,S,,1.99,,,,,,
Salix purpurea,S,,2.02,,,,,,
Salix rosmarinifolia,S,,2.02,,,,,,
Salix starkeana,S,,1.93,,,,,,
Salix triandra,S,,1.92,,,,,,
Salix viminalis,S,,1.88,,,,,,
Sambucus nigra,S,,1.74,,,,,,
Sambucus racemosa,S,,1.68,,,,,,
Sorbaria sorbifolia,S,,1.61,,,,,,
Swida sanguinea,S,,1.67,,,,,,
Syringa vulgaris,S,,1.81,,,,,,
Vaccinium myrtillus,S,,1.60,,,,,,
Vaccinium uliginosum,S,,1.76,,,,,,
Viburnum opulus,S,,1.76,,,,,,
Corylus avellana,S,,1.73,0.312,0.039,,,,
Calluna vulgaris,S,,2.10,,,,,,
Genista anglica,S,,1.81,,,,,,
Erica tetralix,S,,2.10,,,,,,
Ajania tibetica,S,,2.04,,,,,,
